movieId,title,release_year,genres,synopsis,director,main_actors,country
1,100 Girls,2000,"Comedy, Drama, Romance","Matthew, a college freshman, meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the dream girl has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl among a hundred female suspects. Could it be Wendy Dora Arlene Patty Cynthia Or the 95 other girls, any of whom could have been in that elevator with Matthew.",Michael Davis,"Jonathan Tucker,Emmanuelle Chriqui,James DeBello",United States of America
2,Ariel,1988,"Comedy, Drama, Romance, Crime",A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,Aki Kaurismaki,"Turo Pajala,Susanna Haavisto,Matti Pellonpaa",Finland
3,Shadows in Paradise,1986,"Comedy, Drama, Romance","Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",Aki Kaurismaki,"Matti Pellonpaa,Kati Outinen,Sakari Kuosmanen",Finland
4,Four Rooms,1995,"Comedy, Crime",Its Ted the Bellhops first night on the job...and the hotels very unusual guests are about to place him in some outrageous predicaments. It seems that this evenings room service is serving up one unbelievable happening after another.,Robert Rodriguez,"Tim Roth,Jennifer Beals,Antonio Banderas",United States of America
5,Judgment Night,1993,"Action, Crime, Thriller","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",Stephen Hopkins,"Emilio Estevez,Cuba Gooding Jr.,Denis Leary",United States of America
6,Life in Loops A Megacities RMX,2006,Documentary,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities 1997, a visually refined essay on the hidden faces of several world megacities by leading Austrian documentarist Michael Glawogger. Novotny complements 30  of material taken straight from the film and re-edited with 70  as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences shot by Megacities cameraman Wolfgang Thaler from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",Timo Novotny,,Austria
7,Star Wars,1977,"Adventure, Action, Science Fiction",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,George Lucas,,United States of America
8,Finding Nemo,2003,"Animation, Family","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentists office aquarium. Its up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Andrew Stanton,"Albert Brooks,Ellen DeGeneres,Alexander Gould",United States of America
9,Forrest Gump,1994,"Comedy, Drama, Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic eventsin each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",United States of America
10,American Beauty,1999,Drama,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughters attractive friend.",Sam Mendes,"Kevin Spacey,Annette Bening,Thora Birch",United States of America
